Date,Time,Compliant,Compliance %,Missing Items,Present Items
2025-11-02,00:51:12,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:13,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:14,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:15,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:15,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:16,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:17,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:18,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:18,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:19,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:20,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:21,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:22,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:51:22,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
